smiles,score
CCN(CCc1nc2cc(OC)ccc2[nH]1)C(=O)[C@H]1CCOC1,-6.1
Cc1cc(NC(=O)c2ccccc2N2CCOCC2)ccc1NC(=O)C[NH+](C)C,-7.7
CN(Cc1cccc2cnccc12)S(=O)(=O)N1CCC[C@@H](C(=O)[O-])C1,-7.7
CCc1nc(Cn2cnc(-c3ccccc3)c2[C@H]2CCC[N@@H+](CC)C2)no1,-7.6
CCn1nc(C(C)C)cc1C(=O)NCCCSC,-5.2
Cc1ocnc1C(=O)N1C[C@H]2C[C@@H](C1)[C@H](CC1CCCCC1)N1C(=O)CCC[C@@H]21,-9.0
Cc1ccc(C(=O)N2CCC(CCC(=O)NCc3ccc(F)cc3)CC2)cn1,-8.4
COCC[N@@H+](Cc1ccc(F)cc1)C[C@H]1CC[N@@H+](Cc2ccccc2F)CC1,-7.3
O=C1O[C@@H]2CN(c3ncccc3C(F)(F)F)C[C@@H]2N1CC[NH+]1CCCCC1,-7.7
Fc1ccc(-c2cn[nH]c2[C@H]2CCC[N@H+](Cc3cccc(F)c3F)C2)c(F)c1,-8.9
Cc1nc(CCNC(=O)CCc2c[nH]c3ccccc23)nc2c1CCC2,-7.6
O=C(c1cccc(Cl)c1)[C@@H]1CCC[N@@H+](CC(=O)N2CCOCC2)C1,-7.7
Cc1c(C[N@@H+]2CCn3nc(C(=O)N4CCCC4)cc3C2)oc2ccccc12,-9.1
Cn1cncc1-c1nc2c(cnn2Cc2cccc(Cl)c2)[nH]1,-7.3
CN(Cc1nnc(-c2ccccc2)o1)C(=O)c1cccc2c1COC2,-7.9
CCOc1ccc(NC(=O)N2CCC[C@@H](c3nnc[nH]3)C2)cc1C(F)(F)F,-7.4
COc1cccc(Oc2ccc(NC(=O)CC[C@H]3CCC[N@H+](C)C3)cc2)c1,-7.8
CC(=O)N1C[C@H]2CN(S(=O)(=O)N(C)C)C[C@H]2[C@H]1c1cccc(F)c1,-7.1
COc1cccc(-c2nccn2CCCn2nc(C)cc2C)c1OC,-6.8
Cc1ccc(CC(=O)N2CCC(CO)(C[NH+]3CCCC3)CC2)cc1,-7.7
C[C@H]1CCc2n[nH]c(C(=O)NCc3ccc4c(c3)CC(C)(C)O4)c2C1,-8.6
CCOC(=O)[C@@]1(Cc2ccccc2)C[C@H]2CC[C@@H]1N2C(=O)c1nn(C)c(=O)[nH]1,-7.9
NC(=O)Cc1nc(CCCc2nc3ccccc3s2)n(-c2ccccn2)n1,-8.0
COc1cccc(C[N@@H+](Cc2cccnc2)C[C@@H]2CCC(=O)N2)c1,-6.7
CS(=O)(=O)N1C[C@H]2C[NH2+]C[C@@]2(C(=O)NCCOc2ccccc2)C1,-7.1
N#Cc1cc(F)cc(C(=O)N2CCc3ncc(CNC(=O)C4CCOCC4)cc3C2)c1,-8.8
O=C(C1CCC1)N1CC[C@@H](O)[C@@]2(CCCNC2=O)C1,-6.9
C[N@H+](Cc1cnc(NCc2ccccc2)nc1)Cc1cc(C2CC2)[nH]n1,-7.2
O=C(Nc1cc(-c2ccc(F)cc2)n[nH]1)[C@@H]1CC=CCC1,-7.5
Cc1nc(C[N@@H+]2CCC[C@H](CNC(=O)c3ccnn3C)C2)no1,-6.8
CCc1nc(C)c(C(=O)N(C)Cc2cc(-c3ccccc3)on2)o1,-6.9
CCCCC(=O)Nc1ccc(NC(=O)CSc2ccncc2)cc1Cl,-6.4
O[C@@H]1CC[N@H+](Cc2ccc(Cl)cc2Cl)[C@@H](C2CC2)C1,-7.0
CCC[C@]1(CO)CCN(C(=O)Cc2cc(C)ccc2C)C[C@H]1O,-6.9
CCN(Cc1noc(C2CCC2)n1)C(=O)c1cnn2cccc(C)c12,-7.4
O=C(c1ccc2c(c1)OCO2)N1CCC[C@@]12CCCN(CCc1ccccc1)C2=O,-8.7
Cc1nc([C@@H]2CCc3ncnn3C2)n(-c2ccncc2C)n1,-7.9
COc1ccc2c(C)cc(NCc3cccnc3N3CCN(C(C)=O)CC3)nc2c1,-8.7
CCOc1ncccc1-c1ccc(C[NH+](C)C)cc1CO,-6.4
Cc1ccc(N2CCN(C(=O)[C@@H]3CCc4nn(C)c(=O)n4C3)CC2=O)cc1,-8.7
NC(=O)CSc1ccc(C[C@@H]2CCCO2)cc1,-5.9
CC(C)n1ccnc1-c1cccc(C(=O)N(CCO)Cc2ccco2)c1,-6.7
COCCCN1C(=O)CC[C@H]2CN(C(=O)Cc3cc(C)no3)CC[C@H]21,-6.8
COCCN1C(=O)[C@H]2CC[C@@H]1CN(c1ncnc3sc(C)c(C)c13)C2,-7.4
CCCN1Cc2nnc(CCc3ccc(O)cc3)n2[C@@H](C)C1=O,-7.4
Cc1n[nH]cc1C(=O)N1CCn2nc(C(=O)NCC[NH+](C)C)cc2C1,-6.8
O[C@]1(c2ccccc2)CCC[C@@H]2C[N@H+](C3CSCCSC3)C[C@@H]21,-7.9
O=C(C[N@H+]1CC[C@H](c2ccccc2)CC1)N1CC[C@@]2(O)CC[NH2+]C[C@H]2C1,-8.1
c1cc(C[C@@H]2COC[C@@H]2[NH2+]C2CSCCSC2)ccn1,-6.2
Cc1nc(C[N@@H+]2CC[C@@H](NC(=O)c3cc(Cl)ccc3C)[C@H](O)C2)cs1,-8.1
Cc1cc(-c2cnc(N(C)C)nc2)nc2ccc(C[NH+]3CCCC3)cc12,-8.0
